id,node_id,temp,humidity,ax,ay,az,x,y,z,co_ppm,ch4_ppm,hazardous_ppm,rfid,status,timestamp
1,control,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,SAFE,2026-02-13T13:24:08Z
2,Node-01,24.93,50.22,0.06,-0.22,9.59,88.13,50.67,-16.70,5.01,0.48,2.17,WORKER-005,SAFE,2026-02-13T14:00:08Z
3,Node-01,24.96,50.34,0.25,0.10,9.94,36.29,92.91,-0.97,4.99,0.49,1.79,--,SAFE,2026-02-13T14:00:09Z
4,Node-01,24.93,50.25,-0.13,0.04,9.83,37.82,55.98,-35.22,4.82,0.53,1.78,--,SAFE,2026-02-13T14:00:10Z
5,Node-01,24.74,50.04,0.20,-0.09,10.03,17.07,71.90,-43.49,5.12,0.49,1.91,--,SAFE,2026-02-13T14:00:11Z
6,Node-01,24.62,50.53,0.14,-0.24,9.75,61.06,28.54,-19.30,82.70,0.45,1.87,WORKER-003,SAFE,2026-02-13T14:00:13Z
7,Node-01,24.45,50.75,0.07,0.11,9.80,5.53,53.27,-31.24,4.61,0.45,1.84,WORKER-004,SAFE,2026-02-13T14:00:13Z
8,Node-01,24.41,51.16,0.12,0.10,10.04,75.12,91.65,-4.81,4.79,0.49,2.03,--,SAFE,2026-02-13T14:00:14Z
9,Node-01,24.55,51.14,0.08,-0.02,9.92,85.74,9.15,-34.22,5.28,0.53,2.17,--,SAFE,2026-02-13T14:00:15Z
10,Node-01,24.53,51.34,0.02,0.24,9.61,40.00,89.31,-4.23,5.21,0.45,2.14,--,SAFE,2026-02-13T14:00:17Z
11,Node-01,24.53,51.81,-0.22,-0.20,9.87,46.21,62.11,-7.76,4.55,0.51,2.14,--,SAFE,2026-02-13T14:00:17Z
12,Node-01,24.77,51.88,0.13,-0.07,9.76,83.48,10.01,-19.82,5.24,0.54,1.96,--,SAFE,2026-02-13T14:00:18Z
13,Node-01,24.56,52.11,-0.04,0.17,9.81,99.84,84.46,-28.87,5.14,0.48,1.93,WORKER-002,SAFE,2026-02-13T14:00:20Z
14,Node-01,24.34,51.67,-0.25,0.01,9.55,25.18,28.94,-41.49,4.92,0.49,2.22,WORKER-002,SAFE,2026-02-13T14:00:20Z
15,Node-01,24.53,51.32,-0.05,-0.11,9.97,84.26,2.63,-22.10,4.95,0.47,2.05,--,SAFE,2026-02-13T14:00:21Z
16,Node-01,24.47,51.58,0.06,0.01,9.64,25.07,57.07,-0.27,5.17,0.45,2.08,--,SAFE,2026-02-13T14:00:22Z
17,Node-01,24.69,51.63,-0.14,0.22,9.93,56.91,5.33,-3.83,4.78,0.54,1.89,--,SAFE,2026-02-13T14:00:23Z
18,Node-01,24.84,51.53,-0.07,0.24,9.83,52.72,24.51,-22.11,5.01,0.52,2.17,--,SAFE,2026-02-13T14:00:24Z
19,Node-01,24.98,51.37,0.18,0.02,9.90,25.20,24.10,-0.02,4.62,0.53,1.88,--,SAFE,2026-02-13T14:00:25Z
20,Node-01,25.22,51.09,0.09,0.99,2.14,40.94,21.76,-33.13,5.26,0.51,1.77,--,SAFE,2026-02-13T14:00:26Z
21,Node-01,25.20,51.35,-0.18,0.11,9.95,3.75,96.48,-41.05,4.75,0.48,2.05,--,SAFE,2026-02-13T14:00:27Z
22,Node-01,25.02,51.25,0.01,-0.15,9.96,62.45,55.71,-26.12,5.15,0.54,2.22,WORKER-003,SAFE,2026-02-13T14:00:28Z
23,Node-01,25.24,51.46,0.19,0.04,10.02,95.24,54.77,-21.35,5.23,0.46,2.07,WORKER-002,SAFE,2026-02-13T14:00:29Z
24,Node-01,25.04,51.95,0.22,0.15,9.79,15.40,71.38,-9.76,44.13,0.46,2.02,--,SAFE,2026-02-13T14:00:30Z
25,Node-01,24.92,51.87,0.18,-0.01,10.00,91.72,52.36,-28.49,4.54,0.53,1.93,--,SAFE,2026-02-13T14:00:31Z
26,Node-01,24.84,52.09,-0.24,0.05,9.71,71.68,87.73,-48.92,5.02,0.47,2.16,--,SAFE,2026-02-13T14:00:32Z
27,Node-01,25.09,52.09,-0.07,-0.15,9.87,39.09,54.75,-28.90,5.42,0.53,1.98,--,SAFE,2026-02-13T14:00:33Z
28,Node-01,25.23,52.51,-0.15,0.19,9.91,26.82,3.26,-4.34,4.95,0.50,2.13,WORKER-005,SAFE,2026-02-13T14:00:34Z
29,Node-01,25.12,52.45,-0.24,0.10,9.62,23.67,8.69,-39.20,5.31,0.55,1.81,--,SAFE,2026-02-13T14:00:35Z
30,Node-01,25.06,52.90,0.01,0.19,9.81,35.32,74.18,-25.81,4.85,0.47,2.23,--,SAFE,2026-02-13T14:00:36Z
31,Node-01,24.93,53.29,0.03,-0.09,9.76,20.80,73.25,-4.54,4.57,0.48,1.96,--,SAFE,2026-02-13T14:00:37Z
32,Node-01,24.78,53.44,-0.06,0.01,9.96,27.03,46.61,-9.22,5.12,0.53,1.94,--,SAFE,2026-02-13T14:00:39Z
33,Node-01,24.62,53.62,-0.09,-0.07,9.64,91.85,76.66,-0.71,5.46,0.53,2.12,--,SAFE,2026-02-13T14:00:39Z
34,Node-01,24.66,53.53,0.02,-0.14,9.75,57.95,86.51,-26.50,5.28,0.46,2.02,WORKER-002,SAFE,2026-02-13T14:00:40Z
